Val Pascucci	statsd.aspx?playerid=1915&position=1B/OF
Jose Castillo	statsd.aspx?playerid=1866&position=2B/3B
Val Majewski	statsd.aspx?playerid=4851&position=DH/OF
Gregg Zaun	statsd.aspx?playerid=580&position=C
Chris Carter	statsd.aspx?playerid=7707&position=OF
Matt Reynolds	statsd.aspx?playerid=13788&position=3B/SS
Gregorio Petit	statsd.aspx?playerid=3812&position=2B/SS
Ivan Cruz	statsd.aspx?playerid=1596&position=1B
John Bowker	statsd.aspx?playerid=8276&position=1B/OF
Chris Heintz	statsd.aspx?playerid=2307&position=C
Jeff Baker	statsd.aspx?playerid=2073&position=1B/2B
Jacque Jones	statsd.aspx?playerid=735&position=OF
Justin Upton	statsd.aspx?playerid=5222&position=OF
Marcus Jensen	statsd.aspx?playerid=691&position=C
Cedric Hunter	statsd.aspx?playerid=2833&position=OF
Jonathan Van Every	statsd.aspx?playerid=3409&position=OF
Gerald Laird	statsd.aspx?playerid=1698&position=C
Cory Aldridge	statsd.aspx?playerid=1405&position=OF
Jerry Gil	statsd.aspx?playerid=2207&position=SS
Garret Anderson	statsd.aspx?playerid=2&position=OF
Dian Toscano	statsd.aspx?playerid=17199&position=OF
Felix Escalona	statsd.aspx?playerid=1204&position=2B/SS
Ryan Raburn	statsd.aspx?playerid=2218&position=OF
Guillermo Heredia	statsd.aspx?playerid=18721&position=OF
Dan Vogelbach	statsd.aspx?playerid=14130&position=1B
Jeff Frazier	statsd.aspx?playerid=8056&position=DH/OF
Doug Mirabelli	statsd.aspx?playerid=202&position=C
Randy Ruiz	statsd.aspx?playerid=2761&position=DH
Jeff DaVanon	statsd.aspx?playerid=1440&position=OF
Jose Abreu	statsd.aspx?playerid=15676&position=1B
Ramon Cabrera	statsd.aspx?playerid=10327&position=C
Destin Hood	statsd.aspx?playerid=9887&position=OF
Sean Kazmar	statsd.aspx?playerid=7349&position=SS
Stephen Cardullo	statsd.aspx?playerid=11204&position=1B/OF
Roberto Alomar	statsd.aspx?playerid=860&position=2B
Magneuris Sierra	statsd.aspx?playerid=17023&position=OF
Odubel Herrera	statsd.aspx?playerid=11476&position=OF
Victor Caratini	statsd.aspx?playerid=14968&position=C
Aaron Cunningham	statsd.aspx?playerid=4087&position=OF
Yorman Rodriguez	statsd.aspx?playerid=9922&position=OF
Erick Aybar	statsd.aspx?playerid=4082&position=SS
Maikel Franco	statsd.aspx?playerid=12179&position=3B
Hector Luna	statsd.aspx?playerid=1874&position=2B
William Bergolla	statsd.aspx?playerid=2152&position=2B
Alejandro De Aza	statsd.aspx?playerid=3371&position=OF
Gene Kingsale	statsd.aspx?playerid=1085&position=OF
Mike Baxter	statsd.aspx?playerid=4464&position=OF
Alex Cora	statsd.aspx?playerid=1386&position=2B/SS
Franchy Cordero	statsd.aspx?playerid=14567&position=OF
Roosevelt Brown	statsd.aspx?playerid=268&position=OF
Xander Bogaerts	statsd.aspx?playerid=12161&position=SS
Jurickson Profar	statsd.aspx?playerid=10815&position=2B
Tim Salmon	statsd.aspx?playerid=32&position=OF
Joe Dillon	statsd.aspx?playerid=2384&position=2B/OF
Jorge Fabregas	statsd.aspx?playerid=12&position=C
Hunter Dozier	statsd.aspx?playerid=15117&position=OF
Josh Reddick	statsd.aspx?playerid=3892&position=OF
Luis Gonzalez	statsd.aspx?playerid=55&position=OF
Brandon Guyer	statsd.aspx?playerid=2636&position=OF
Brandon Larson	statsd.aspx?playerid=336&position=3B
Alvin Colina	statsd.aspx?playerid=2559&position=C
Steven Baron	statsd.aspx?playerid=9787&position=C
Gregor Blanco	statsd.aspx?playerid=3123&position=OF
Eric Owens	statsd.aspx?playerid=534&position=OF
Oscar Taveras	statsd.aspx?playerid=11173&position=OF
Michael Cuddyer	statsd.aspx?playerid=1534&position=OF
Mauro Gomez	statsd.aspx?playerid=5342&position=1B/3B
Richie Sexson	statsd.aspx?playerid=709&position=1B
Richie Shaffer	statsd.aspx?playerid=13271&position=1B/DH
Carlos Moncrief	statsd.aspx?playerid=7511&position=OF
Kerry Robinson	statsd.aspx?playerid=1179&position=OF
Curtis Granderson	statsd.aspx?playerid=4747&position=OF
Brent Morel	statsd.aspx?playerid=6402&position=3B
Hanser Alberto	statsd.aspx?playerid=11902&position=2B
Ross Gload	statsd.aspx?playerid=1538&position=1B
Wil Myers	statsd.aspx?playerid=10047&position=1B/OF
Franklin Barreto	statsd.aspx?playerid=15519&position=2B/SS
Aaron Guiel	statsd.aspx?playerid=1503&position=OF
Daniel Dorn	statsd.aspx?playerid=1050&position=1B/OF
Ken Harvey	statsd.aspx?playerid=604&position=1B/DH
Marlon Byrd	statsd.aspx?playerid=950&position=OF
Jesus Montero	statsd.aspx?playerid=5514&position=C/DH
Roman Quinn	statsd.aspx?playerid=13546&position=OF
Chris Truby	statsd.aspx?playerid=799&position=3B
Mel Stocker	statsd.aspx?playerid=3457&position=OF
Logan Forsythe	statsd.aspx?playerid=7185&position=2B
Stephen Drew	statsd.aspx?playerid=4251&position=SS
